,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
1,277.992545,955.823148,30.696913,106.518555,408.85267,35.109901,59.504173,562.779029,241.994662,219.539475,247.932107,4264.747538,420.898203,1422.735597,893.543851,853.251613,173.665233,444.69108,207.677808,263.941474,11,13,1,14,15
2,1044.382232,2209.303743,71.923958,561.63345,1559.35244,270.393338,377.399131,1848.896248,917.524221,705.266251,1026.021785,9962.818509,1021.213561,4128.207494,2340.117844,1637.693118,302.133034,1502.999114,973.556949,1034.678427,11,13,14,1,7
3,1921.207681,9178.989517,410.729003,2031.736979,2931.021297,424.48643,805.623372,3041.911924,2225.396446,3048.695622,1931.290806,24948.35749,2011.661963,17368.39618,10711.28932,6700.824834,1485.42381,1931.875909,2525.376984,3733.180495,11,13,14,1,15
4,641.608185,1603.108253,55.422284,450.065961,847.932224,224.744888,89.774583,864.375818,677.118695,416.550416,773.500902,4398.841681,577.949283,2787.907777,1817.42718,1225.872967,348.417529,308.349626,372.079042,753.508851,11,13,14,1,15
5,1100.248652,5173.801281,226.177393,483.666068,1303.43639,231.133672,383.547408,2132.142218,1248.055078,1595.051158,832.999172,10055.54291,1519.228656,10384.58056,5863.51136,3997.234052,873.490812,1314.19181,1252.670968,2070.962389,13,11,14,1,15
6,1053.191872,616.398769,5.870797,555.452313,715.100658,353.966403,1062.299575,555.982709,1144.194121,2492.827226,403.320234,4128.632667,851.271197,616.398769,2316.970796,380.806419,380.806419,1776.996948,1187.514116,1370.293376,11,9,14,17,19
7,31.235604,37.026813,11.479779,37.980508,24.451269,10.199101,31.235604,28.397249,21.310078,200.994471,27.830875,979.552561,19.580417,275.740329,570.333336,91.991717,91.991717,120.999186,14.216276,152.992876,11,14,13,9,19
8,15062.43454,15699.16435,1518.16926,16115.4706,19737.97486,3357.109105,3473.455158,27792.27407,13647.83716,15833.75441,14864.56752,144941.2847,30449.51271,50968.74906,36977.34031,24460.95841,24460.95841,20352.89614,26539.39807,43266.46503,11,13,19,14,12
9,434.933988,1691.401029,79.356577,295.790899,581.697633,92.929226,88.205381,752.752241,384.798498,610.590104,418.105886,3301.799626,732.404366,1395.941352,1219.037811,438.179292,438.179292,522.943918,193.787374,1318.618557,11,1,13,19,14
10,1830.577312,6612.422426,194.162565,1534.332514,2294.630757,265.826881,296.04946,2487.571247,1690.405525,3633.255071,1800.835543,13849.39871,2264.59816,6010.995151,6284.483021,1890.470543,1890.470543,2572.594972,921.698022,6127.680912,11,1,14,19,13
11,2245.413707,8948.510978,225.028791,1244.636557,2783.84862,287.24194,293.29036,3511.427242,2315.914357,4641.298559,2071.683163,17168.44112,2750.422963,8225.250856,6675.900376,3103.096159,3103.096159,3055.503348,1397.697349,6843.747923,11,1,13,19,14
12,830.035149,1713.313756,49.652895,977.816105,650.818795,264.597482,444.296744,1005.665837,736.35231,1029.303933,325.963354,2555.057152,146.578043,3427.525612,1835.287975,685.926742,685.926742,481.377122,177.475734,5376.085323,19,13,11,14,1
13,38.1522,65.213985,1.897002,154.566191,72.869542,7.921349,114.453744,48.068676,28.865769,16.310999,38.1522,1099.308,20.32695,90.34058,207.789614,48.068676,48.068676,72.869542,96.02325,129.884328,11,14,3,19,6
14,53.310653,38.536569,34.703914,45.915675,59.111607,34.682288,22.923493,48.117935,54.326615,33.822102,43.11769,230.230352,35.531015,38.536569,96.024766,34.994894,34.994894,30.114808,42.364419,37.726702,11,14,4,8,0
15,6879.899945,14789.12845,810.946875,4813.330056,5447.176902,379.129888,4290.768752,5319.310653,8393.179661,6293.612662,2447.258584,53684.04815,11247.12617,13367.62843,23089.08005,5990.533909,5990.533909,4596.244202,4209.106494,7730.403131,11,14,1,13,12
16,1097.712834,3133.926527,242.388734,1036.542432,1052.328878,156.841972,829.13178,592.908752,1056.427749,1946.440726,660.055642,9911.443067,2696.601724,2858.064113,5269.588099,898.031746,898.031746,1007.41282,938.692459,1362.60058,11,14,1,13,12
17,90.649252,242.28651,45.193364,105.65158,141.394791,52.690498,82.402517,234.884287,121.633683,370.774535,108.07595,907.25145,265.112398,1736.639678,818.117289,563.865172,142.292632,365.057605,171.30343,341.685321,13,11,14,15,9
18,158.830968,477.921106,33.603484,179.495903,225.400539,31.166823,117.809821,479.810553,232.996816,546.481068,132.122762,1988.006318,533.600249,3056.257093,1413.040557,987.489797,329.697489,755.946214,275.044527,440.943338,13,11,14,15,17
19,133.142387,438.260595,40.855879,233.166054,252.400613,42.009175,161.620945,544.604204,199.686611,506.833892,130.878535,2162.39816,166.799855,3614.880186,1640.114957,1110.876332,350.783706,879.671253,270.930327,583.356241,13,11,14,15,17
20,431.046112,1043.237746,96.62779,597.521063,1032.890751,29.597683,555.317462,1559.886138,745.702624,1902.967776,472.520272,5704.521591,578.850647,7018.865413,4387.172213,3027.227434,913.552609,2444.167199,867.076428,1712.27243,13,11,14,15,17
21,21973.86793,19937.8427,4196.307013,20047.83001,33431.86516,807.506584,14438.64115,39196.05439,21973.86793,35338.09511,23222.61629,128456.6824,12610.62368,101037.5571,83088.17467,45209.82272,14636.60938,54785.9256,32259.19865,46569.84802,11,13,14,17,19
22,8.009921,116.387116,3.217566,121.278251,93.438755,8.009921,84.317182,89.504762,8.009921,126.636646,93.438755,32.204762,80.635397,376.545783,75.517815,3.217566,3.217566,32.204762,5.042063,127.451906,13,19,9,3,1
23,315.983821,329.059014,15.444518,174.733436,348.351053,65.512612,73.449935,276.252753,211.300038,227.638481,193.428016,68.882773,547.145776,309.055926,547.465863,134.417352,134.417352,373.106444,192.197226,348.912308,14,12,17,19,4
24,102.259892,95.403041,18.482364,85.672074,131.203921,29.002225,30.079773,115.997232,84.387915,108.402004,76.565594,48.860538,146.719569,95.403041,311.940106,39.803621,39.803621,178.26237,141.83315,131.716697,14,17,12,18,19
25,192.752608,275.149092,138.587119,226.705922,226.604676,130.882079,144.750996,235.586203,215.229646,150.47945,197.678024,286.247385,256.47757,275.149092,290.29948,183.468601,183.468601,198.642213,193.100085,230.47662,14,11,1,13,12
26,220.853164,456.619421,38.128259,98.054208,203.020463,49.235009,52.593081,236.577757,211.399454,153.534937,120.210251,427.166742,57.040075,367.010441,258.478891,227.727208,106.788506,162.768694,50.6128,149.009314,1,11,13,14,7
27,128.464702,350.8222,43.89631,83.59612,116.325195,60.735194,52.382247,113.847628,127.640981,84.125065,87.426222,298.370509,41.328517,252.301167,164.022186,138.589075,67.075473,118.789502,46.659427,81.811999,1,11,13,14,15
28,147.018835,448.217312,66.306932,106.0876,154.291144,106.136043,64.709047,170.22479,141.92696,109.423521,98.166278,331.294295,67.955951,311.358755,167.151502,198.408992,131.54245,111.863578,80.505105,84.38192,1,11,13,15,7
29,106.491708,55.995811,326.183824,80.907884,70.058706,29.528437,88.277163,67.04354,78.500718,230.765251,39.258578,6.966231,13.861702,55.995811,161.983536,27.609527,27.609527,20.651408,19.878562,63.182576,2,9,14,0,6
30,51.275,20.683591,3.761144,48.361001,35.416667,18.996158,14.444335,74.037843,49.755929,83.936197,33.710277,46.298064,9.234008,92.405531,107.591193,19.823019,19.823019,91.544808,12.52157,19.624575,14,13,17,9,7
31,57218.34461,247905.1289,3150.966964,75166.30514,82239.27999,9614.621509,22528.81109,81170.52033,56416.43866,178209.3631,37022.2534,196542.482,4276.820198,220588.7273,284576.6951,96858.1638,96858.1638,75053.69233,54498.56284,64191.89545,14,1,13,11,9
32,30316.7753,427536.8013,1569.911631,177528.8602,126680.2781,1420.520101,21713.24368,282624.5564,14591.98248,283546.9788,49631.45798,50898.1771,607.174157,2895988.767,1011486.156,379273.5169,211227.9413,137314.9418,75187.98321,117609.6587,13,14,1,15,9
33,91752.51668,135769.7239,1462.132599,98909.52473,93008.19434,4135.492276,8537.073184,178980.4772,37560.76805,236420.9817,35246.4354,24433.85296,262.027265,1099993.987,495784.4845,93011.65304,127401.5444,64190.79365,40180.94271,59407.24239,13,14,9,7,1
34,40064.04736,96532.15691,2318.096667,77954.8291,55733.3416,1614.492264,4634.610817,108930.5719,22135.44202,153931.2856,22252.01331,20542.19219,363.096529,803196.8522,461724.8534,46511.57134,64511.48018,63100.26198,32123.4084,32760.55683,13,14,9,7,1
35,59121.53656,152557.4968,552.680941,49044.55242,41178.48999,1461.486715,2683.295778,69550.78673,14453.22384,30864.40532,21266.79095,4205.077486,281.073147,792063.4287,343675.179,41569.16658,52377.13099,34441.25136,16700.15784,14664.86883,13,14,1,7,0
36,8457.727641,5453.617804,31.652778,6149.279474,7272.062208,2236.60897,4022.904229,10263.84044,6830.123926,10252.45604,8438.23756,29608.48555,6554.000704,5059.973009,12191.82074,4444.498029,4444.498029,7101.418932,6493.921212,7892.095786,11,14,7,9,0
37,5367.108489,2605.431349,32.24078,4480.747127,9626.846156,143.559331,2343.657041,4428.859972,3160.401508,1684.780879,4353.036067,48542.78019,1279.114525,2057.20958,11986.71191,3334.746369,2057.20958,7513.234751,7592.980851,9730.080933,11,14,19,4,18
38,42.666667,27.206349,8.137821,43.892962,71.166966,16.863711,31.549212,151.810185,46.733359,141.789272,23.460227,165.068056,94.8814,286.977679,235.777778,12.438805,12.438805,81.666667,8.195384,71.541667,13,14,11,7,9
39,108.138095,46.551433,1251.93254,105.945635,105.945635,33.893689,35.413853,85.37822,77.815476,297.186111,64.77381,213.492752,36.69632,102.765299,263.701076,10.774306,10.774306,80.819465,24.661928,36.013572,2,9,14,11,0
40,10.885714,6.833333,3.014815,41.637374,41.637374,4.722222,57.36936,62.041414,10.885714,1.166667,6.944444,126.296825,11.004762,6.833333,24.162626,5.316667,5.316667,21.813553,4.722222,5.611111,11,7,6,3,4
41,772.364124,2867.706964,36.680993,1158.943428,3047.145744,124.697651,721.107551,3718.255959,792.507232,762.314981,1951.132228,7143.947341,378.521743,2590.321388,2219.049985,664.547396,664.547396,2333.935426,1483.897876,2474.634185,11,7,4,1,13
42,282.065142,1166.563018,21.966737,322.403923,643.368852,32.422894,128.012293,1120.610039,247.764925,673.210744,403.618443,2665.163762,83.569677,1103.611662,2629.016479,25.575301,25.575301,733.011254,463.323299,659.63285,11,14,1,7,13
43,214.007418,723.071731,22.444764,270.671566,441.180875,40.075327,70.921176,697.160981,126.785793,333.805713,365.030208,1836.508648,125.509033,617.222826,1247.507694,64.971692,64.971692,488.13304,402.566014,401.247154,11,14,1,7,13
44,84.537991,225.275794,3085.160714,127.321738,116.383361,31.437007,118.186599,132.850126,168.762602,44.783595,42.991045,1241.470352,163.72439,619.440498,179.376103,25.771874,25.771874,91.634751,36.151832,111.110024,2,11,13,1,14
45,5.879257,10.856827,102.939394,6.543182,3.797897,5.297159,3.779621,7.919444,5.879257,8.798229,2.711111,18.365522,4.453535,10.856827,1.574747,9.378301,9.378301,6.671962,6.463629,6.463629,2,11,1,13,15
46,123.731786,39.346404,2.380272,97.000362,76.104771,4.376121,137.35702,107.836567,147.189084,181.437911,49.930523,111.705303,142.838342,134.052135,450.951626,12.015271,12.015271,135.584893,117.840285,2.731034,14,9,8,12,6
47,5141.259307,11072.1061,450.72521,6074.503403,5611.858698,649.806719,2826.196245,612336.0502,4829.66396,8331.619614,4139.398796,29954.51594,9049.786967,10093.92486,17238.2192,2236.097403,2236.097403,5630.367971,4326.899987,6591.604946,7,11,14,1,13
48,116.448761,256.110242,57.706947,125.755668,216.657495,56.349066,57.969521,165.451908,93.110028,267.990169,91.963507,306.561895,108.534138,240.441345,175.423194,63.744895,63.744895,274.259005,87.437998,122.421981,11,17,9,1,13
49,87.179258,532.083653,44.02385,155.007935,237.365179,38.656511,46.915249,341.193012,85.734825,481.416395,74.178491,417.219787,136.605986,515.88433,496.571968,108.675429,108.675429,228.98757,99.15501,107.030094,1,13,14,9,11
50,0.741513,0.64847,0.419079,0.011404,1.885944,2.002703,4.508752,3.092181,1.478188,0.620481,3.902851,0.207829,3.902851,0.68604,2.062672,2.266171,2.266171,1.885944,1.108421,2.173649,6,10,12,7,15
51,31.001389,30.189755,6.493464,19.376389,3.333333,8.190972,26.673611,6.878632,3.333333,19.475469,8.829726,73.544444,5.747863,37.708333,11.538889,6.493464,6.493464,4.791667,5.17094,5.166667,11,13,0,1,6
52,403.652635,621.271397,156.687494,489.686262,337.746674,151.678551,170.306012,660.26187,611.643622,3255.495981,114.237168,508.382131,186.49767,1155.496367,1429.620175,344.375407,238.553186,238.764482,134.239498,205.045574,9,14,13,7,1
53,752.76712,912.14649,66.110478,513.914416,529.575528,251.033148,313.786733,898.358285,1107.336299,6931.7764,155.816029,602.268651,310.178893,1779.313574,2804.840981,496.637226,329.842704,322.041093,220.040865,270.006986,9,14,13,8,1
54,297.743776,1501.654161,187.040595,346.275583,276.254312,173.281798,228.486793,313.573293,348.797188,2398.753773,222.350442,317.96829,220.188783,1330.813728,1060.556284,473.914438,367.128732,281.24909,200.768929,202.163691,9,1,13,14,15
55,333.299689,251.140049,63.500757,234.186018,181.632001,53.778476,121.956947,203.516822,382.135192,1296.03466,104.634184,351.418675,226.574659,159.989167,759.798871,100.742856,89.05639,137.980416,135.128746,176.165754,9,14,8,11,0
56,27.135716,15.159,260.416667,7.94454,18.009695,8.331734,3.36339,24.730089,11.511559,7.045477,9.767557,129.633369,16.185901,15.159,16.186604,260.416667,260.416667,19.102887,7.108169,15.159,2,15,16,11,0
