,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
1,0.23387013,0.268615385,0.267015251,0.2394453,0.235371224,0.253846154,0.246519916,0.248831169,0.255586278,0.263942652,0.235371224,0.2688,0.262835498,0.268366615,0.228059396,0.26875965,0.26875965,0.255586278,0.251293341,0.255586278,15,1,5,11,4
2,0.346314735,0.336678236,0.345284954,0.34258151,0.343933719,0.347191011,0.341977096,0.315324866,0.348062081,0.346168413,0.343933719,0.348440853,0.344946994,0.339351092,0.348325968,0.348372871,0.348372871,0.346168413,0.34743088,0.34743088,8,2,14,7,4
3,0.180336872,0.19064367,0.193342794,0.182015792,0.184307345,0.181771047,0.193811643,0.183319169,0.184711562,0.193704692,0.185153345,0.194574194,0.189055393,0.194470551,0.183410126,0.192866339,0.192866339,0.184946674,0.192692534,0.1920891,1,6,4,8,15
4,0.33294177,0.38624283,0.384479846,0.337899689,0.308813627,0.33495254,0.386367829,0.333953973,0.34733447,0.381401006,0.306672772,0.386815042,0.36226167,0.382004492,0.325092884,0.384721501,0.384721501,0.344941369,0.353038389,0.356357762,11,5,15,1,8
5,0.305565475,0.344148308,0.342768769,0.319551776,0.299327505,0.301650803,0.342357148,0.318099704,0.31052913,0.346338328,0.293871042,0.346341156,0.31524069,0.344632236,0.30802382,0.342465185,0.342465185,0.314046171,0.314601586,0.321979716,11,5,6,1,15
6,0.194593317,0.201470943,0.216261808,0.194674556,0.201421159,0.198736714,0.202987227,0.188924384,0.1956683,0.203813281,0.202352254,0.204142012,0.197675908,0.201470943,0.196659919,0.202698511,0.202698511,0.203142562,0.203148292,0.20277041,8,1,4,9,15
7,0.290749354,0.465925177,0.472314507,0.218907988,0.433001107,0.3508507,0.230284238,0.218907988,0.467129769,0.467129769,0.433001107,0.467279611,0.29837914,0.465925177,0.28685541,0.467143709,0.467143709,0.3508507,0.360669115,0.391422531,4,8,7,15,1
8,0.072284326,0.073656952,0.07279023,0.071544246,0.072892878,0.072259368,0.073623077,0.073209937,0.071843061,0.073594354,0.072873925,0.073755014,0.073726407,0.072911565,0.072517362,0.073495196,0.073495196,0.073602362,0.073502765,0.072284326,4,9,6,1,20
9,0.455386707,0.456494975,0.455545823,0.451854262,0.453994152,0.452059086,0.451315789,0.457471805,0.447681484,0.457323407,0.456717452,0.458102493,0.455491991,0.457561461,0.456485191,0.457954534,0.457954534,0.454445118,0.45257562,0.452059086,9,7,4,6,20
10,0.264960706,0.275397391,0.275286397,0.268755848,0.263378547,0.268495887,0.271572817,0.267797038,0.262801031,0.277218375,0.269311295,0.277267802,0.274864218,0.276318281,0.268719125,0.274493555,0.274493555,0.272846351,0.269193295,0.275489982,9,5,1,8,6
11,0.309415152,0.31322171,0.308434353,0.306506466,0.308504561,0.312270934,0.305453398,0.312858675,0.310099609,0.313188591,0.30953382,0.313728691,0.309698198,0.313690898,0.31084585,0.313529561,0.313529561,0.305743639,0.305353762,0.308148025,19,7,18,4,20
12,0.381835938,0.139346591,0.19723136,0.142454955,0.381835938,0.138664216,0.143133998,0.137524802,0.395833333,0.139648438,0.381835938,0.144042969,0.133660714,0.139648438,0.139648438,0.14140625,0.14140625,0.381835938,0.141696429,0.388860887,13,8,6,2,10
13,0.23972324,0.250841751,0.269230769,0.464387464,0.464387464,0.23972324,0.475308642,0.243664717,0.231060606,0.252340252,0.464387464,0.252400549,0.232804233,0.250841751,0.242979243,0.243664717,0.243664717,0.23972324,0.249237473,0.252340252,9,13,1,6,18
14,0.434048083,0.485288956,0.489965213,0.451076076,0.428711829,0.428711829,0.483912484,0.39305731,0.468075753,0.481572482,0.428711829,0.490869248,0.488392238,0.485288956,0.402700947,0.472352891,0.472352891,0.440768691,0.480877104,0.478913696,8,15,5,6,11
15,0.123463228,0.123727749,0.121492138,0.12081068,0.120382253,0.122697553,0.12206772,0.123957364,0.123755444,0.12381777,0.118951111,0.123964808,0.123830195,0.123727749,0.119274737,0.122343031,0.122343031,0.118951111,0.119890936,0.120580961,11,18,15,19,5
16,0.184200483,0.201228518,0.2011563,0.188063169,0.184200483,0.187064747,0.199699828,0.196702412,0.197034516,0.201157825,0.186918905,0.201446281,0.198742812,0.201228518,0.187353974,0.201101928,0.201101928,0.19214876,0.190857896,0.189667984,1,5,11,6,15
17,0.381150205,0.401798989,0.442398744,0.429714533,0.332071799,0.400971157,0.422303271,0.409007353,0.430507122,0.435861925,0.375216263,0.385596886,0.378406339,0.4375,0.411548443,0.43641182,0.43641182,0.415116782,0.388804652,0.407763841,5,11,13,1,12
18,0.338326635,0.363155773,0.3696103,0.343925575,0.324884493,0.346124047,0.34654177,0.348224825,0.346829075,0.368109603,0.340809091,0.336739241,0.32558802,0.369857747,0.349523687,0.3698826,0.3698826,0.362339271,0.338326635,0.343884831,5,13,12,1,19
19,0.316694992,0.373260196,0.378137888,0.352120895,0.314881489,0.336504723,0.359537729,0.347933405,0.353515075,0.377177844,0.326785556,0.367315911,0.35023862,0.375231836,0.333770079,0.37814729,0.37814729,0.360905654,0.33733463,0.340195595,5,1,11,15,6
20,0.2043626,0.225761869,0.227088255,0.209451577,0.204251141,0.205933466,0.205933466,0.212524622,0.210337805,0.226810105,0.203453997,0.222486944,0.209737695,0.22714593,0.205559296,0.22701976,0.22701976,0.222486944,0.209662079,0.217228975,11,5,1,15,6
21,0.043586574,0.043707449,0.043704524,0.043641351,0.043641351,0.043685866,0.043606726,0.043567673,0.043660227,0.043641351,0.043641351,0.043705905,0.04363815,0.043707449,0.043707449,0.043715436,0.043715436,0.043706694,0.043629819,0.04363454,8,1,7,19,20
22,0.321969697,0.296703297,0.374814815,0.328104575,0.344444444,0.314814815,0.488888889,0.345543346,0.306471306,0.336996337,0.332112332,0.308496732,0.285185185,0.296703297,0.332112332,0.374814815,0.374814815,0.296703297,0.333333333,0.336996337,13,2,14,18,9
23,0.292031821,0.37516562,0.365308642,0.309062045,0.344110704,0.340064668,0.349002443,0.321751965,0.303012346,0.369372094,0.331834293,0.32021164,0.369312169,0.374675796,0.356101844,0.370462812,0.370462812,0.369372094,0.322505121,0.319992192,1,9,4,20,12
24,0.354840327,0.446036334,0.440040775,0.345553368,0.339598415,0.384092846,0.445175155,0.351263632,0.417725723,0.440880783,0.340351528,0.399953177,0.422730481,0.446036334,0.405419273,0.441187439,0.441187439,0.439378494,0.395584862,0.408834523,5,11,4,8,1
25,0.14265266,0.143888092,0.191377719,0.137839913,0.143738537,0.143813654,0.13889508,0.143604878,0.139374547,0.143790941,0.143708821,0.139443961,0.143912314,0.143888092,0.143708821,0.14336749,0.14336749,0.143122861,0.14385215,0.143239277,4,7,9,12,1
26,0.424836601,0.491549778,0.496770589,0.459557258,0.43281206,0.495230019,0.493957115,0.439679528,0.465648189,0.489515394,0.452107441,0.46881268,0.478571429,0.497762816,0.451683502,0.489676425,0.489676425,0.481730837,0.492026771,0.486549708,1,5,8,15,11
27,0.468781339,0.483070478,0.485663864,0.463057344,0.462045803,0.470410139,0.477286368,0.469886425,0.482316195,0.484942192,0.475894604,0.479399888,0.47906971,0.48441991,0.466618222,0.486117693,0.486117693,0.485762527,0.481075461,0.484301219,5,4,15,1,8
