,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
1,0.099881,0.000497,0.007633,0.084756,0.100873,0.041497,0.061318,0.055038,0.036814,0.013199,0.100873,0,0.016222,0.001165,0.13009,0.000108,0.000108,0.036814,0.047732,0.036814,15,5,11,1,4
2,0.004406,0.024517,0.011512,0.01217,0.009377,0.00259,0.01429,0.071499,0.000784,0.004719,0.009377,0,0.007654,0.01905,0.000238,0.000146,0.000146,0.004719,0.002094,0.002094,8,2,14,7,4
3,0.055215,0.014848,0.006979,0.050261,0.040475,0.051169,0.002874,0.043253,0.038085,0.00324,0.037334,0,0.021717,0.000384,0.045083,0.00635,0.00635,0.038102,0.007029,0.009344,1,6,4,15,8
4,0.104668,0.001067,0.007106,0.093999,0.158427,0.100834,0.000857,0.102737,0.076413,0.010146,0.164198,0,0.048049,0.009018,0.124616,0.003929,0.003929,0.081381,0.064052,0.05839,11,5,15,1,8
5,0.088973,0.004579,0.011167,0.058017,0.105557,0.09913,0.008317,0.0607,0.076692,0.000006,0.118969,0,0.066632,0.003568,0.085259,0.00809,0.00809,0.070521,0.067418,0.052554,11,5,6,1,15
6,0.035266,0.013555,0.026727,0.034289,0.009679,0.019512,0.004141,0.058133,0.031465,0.001164,0.006389,0,0.023513,0.013555,0.027953,0.007898,0.007898,0.003548,0.003531,0.004958,8,1,4,9,15
7,0.293309,0.002096,0.09946,0.438458,0.565765,0.190132,0.406344,0.438458,0.000231,0.000231,0.565765,0,0.346421,0.002096,0.321616,0.000236,0.000236,0.190132,0.171615,0.121182,5,11,4,8,7
8,0.015721,0.001126,0.013376,0.025161,0.008873,0.015965,0.001326,0.005349,0.020016,0.001585,0.009059,0,0.000283,0.00869,0.013437,0.002854,0.002854,0.001506,0.002483,0.015721,4,9,6,1,20
9,0.004281,0.002992,0.007391,0.009863,0.006479,0.009542,0.010716,0.001,0.016546,0.001227,0.002182,0,0.004226,0.000852,0.002549,0.000257,0.000257,0.00577,0.008837,0.009542,9,7,4,6,20
10,0.032715,0.004879,0.008671,0.022332,0.037426,0.023109,0.015123,0.025158,0.038085,0.000129,0.021143,0,0.006581,0.002476,0.022829,0.007715,0.007715,0.011636,0.021197,0.004643,9,5,1,8,6
11,0.009955,0.001166,0.020294,0.016696,0.012101,0.003355,0.019385,0.002014,0.00839,0.001244,0.009718,0,0.009735,0.000087,0.006668,0.000503,0.000503,0.018618,0.01946,0.012954,3,19,7,18,4
