,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,1,2,4,5,6
2,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,0.224719,8,16,17,2,3
3,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,0.109215,12,13,5,10,20
4,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,0.262108,4,6,7,8,9
5,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,0.222819,11,15,2,4,8
6,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,0.115385,6,13,7,8,9
7,0.186047,0.372093,0.372093,0.139535,0.116279,0.255814,0.139535,0.139535,0.372093,0.372093,0.116279,0.372093,0.186047,0.372093,0.209302,0.372093,0.372093,0.255814,0.255814,0.302326,5,11,4,7,8
8,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,0.038348,16,17,12,14,1
9,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,0.355263,1,2,3,5,6
10,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,0.166284,2,3,9,11,12
11,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,0.194819,5,14,15,2,3
12,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,0.078125,2,6,9,20,1
13,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,0.148148,1,6,18,2,3
14,0.333333,0.432432,0.432432,0.369369,0.324324,0.324324,0.432432,0.288288,0.396396,0.432432,0.324324,0.432432,0.432432,0.432432,0.288288,0.432432,0.432432,0.342342,0.432432,0.432432,8,15,5,6,11
15,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,0.06639,9,7,15,19,4
16,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,0.113636,10,18,1,4,5
17,0.301471,0.3125,0.330882,0.330882,0.264706,0.330882,0.330882,0.330882,0.330882,0.330882,0.316176,0.330882,0.283088,0.330882,0.330882,0.330882,0.330882,0.330882,0.327206,0.330882,5,13,1,2,11
18,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,0.245098,2,8,4,6,1
19,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,0.253205,1,2,3,4,5
20,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,0.13079,13,2,10,12,14
21,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,0.022358,7,18,20,4,5
22,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,0.222222,2,9,14,18,13
23,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.222222,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,0.251852,12,5,2,3,9
24,0.266055,0.33945,0.330275,0.266055,0.256881,0.302752,0.33945,0.275229,0.33945,0.33945,0.266055,0.293578,0.33945,0.33945,0.33945,0.33945,0.33945,0.33945,0.311927,0.33945,5,1,11,4,8
25,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,0.078049,5,2,4,6,8
26,0.307692,0.466667,0.466667,0.358974,0.317949,0.461538,0.451282,0.328205,0.369231,0.435897,0.348718,0.379487,0.4,0.466667,0.348718,0.430769,0.430769,0.410256,0.441026,0.420513,1,5,8,11,15
27,0.417004,0.417004,0.417004,0.392713,0.396761,0.417004,0.417004,0.417004,0.417004,0.417004,0.417004,0.417004,0.417004,0.417004,0.396761,0.417004,0.417004,0.417004,0.417004,0.417004,4,5,15,14,20
28,0.402941,0.402941,0.402941,0.373529,0.364706,0.402941,0.402941,0.347059,0.367647,0.402941,0.402941,0.391176,0.402941,0.402941,0.391176,0.402941,0.402941,0.402941,0.402941,0.402941,8,5,9,4,12
29,0.37037,0.37037,0.37037,0.296296,0.185185,0.37037,0.37037,0.37037,0.37037,0.296296,0.259259,0.37037,0.333333,0.37037,0.37037,0.37037,0.37037,0.148148,0.37037,0.37037,18,5,11,4,10
30,0.242424,0.272727,0.454545,0.212121,0.212121,0.181818,0.30303,0.242424,0.272727,0.424242,0.272727,0.454545,0.30303,0.454545,0.30303,0.424242,0.424242,0.393939,0.454545,0.363636,6,4,5,1,8
31,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,0.148232,10,9,13,1,2
32,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,0.105631,6,20,3,5,12
33,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,0.114853,15,10,14,1,4
34,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,0.096352,13,1,16,18,20
35,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,0.152536,3,14,16,20,6
36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5,4,7,12,20
37,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,0.153409,6,15,1,5,10
38,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,5,9,2,20
39,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,8,10,15,16
40,0.3,0.35,0.3,0.25,0.2,0.4,0.4,0.25,0.3,0.4,0.3,0.4,0.4,0.35,0.35,0.4,0.4,0.3,0.4,0.4,5,4,8,1,9
41,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,0.101911,13,2,9,12,14
